timestamp,source,height_m,height_smooth,offset_y,gt_height,gt_offset_y,land_flag,remarks
116.232,UFLD,22.863,22.863,0.060,18.783,-0.946,False,UFLD mode
116.404,UFLD,23.384,23.216,-0.513,18.545,-0.950,False,UFLD mode
116.598,UFLD,27.045,24.891,-2.280,18.350,-0.950,False,UFLD mode
116.77,UFLD,23.541,24.419,-0.130,18.114,-0.943,False,UFLD mode
116.954,UFLD,21.653,23.561,0.359,17.921,-0.934,False,UFLD mode
117.138,UFLD,23.003,23.399,0.918,17.685,-0.920,False,UFLD mode
117.35,UFLD,21.021,22.730,1.336,17.448,-0.903,False,UFLD mode
117.524,UFLD,22.208,22.586,0.121,17.254,-0.886,False,UFLD mode
117.722,UFLD,21.174,22.201,0.608,17.021,-0.864,False,UFLD mode
117.896,UFLD,21.016,21.879,0.668,16.827,-0.844,False,UFLD mode
118.12,UFLD,20.346,21.463,1.304,16.549,-0.814,False,UFLD mode
118.312,UFLD,20.350,21.162,0.490,16.311,-0.786,False,UFLD mode
118.506,UFLD,19.705,20.768,1.052,16.072,-0.758,False,UFLD mode
118.678,UFLD,19.808,20.509,0.505,15.872,-0.733,False,UFLD mode
118.866,UFLD,19.770,20.309,0.482,15.665,-0.707,False,UFLD mode
119.04,UFLD,18.768,19.892,1.095,15.419,-0.675,False,UFLD mode
119.234,UFLD,17.916,19.358,0.806,15.170,-0.642,False,UFLD mode
119.426,UFLD,17.773,18.930,0.797,14.960,-0.613,False,UFLD mode
119.614,UFLD,17.858,18.640,0.824,14.706,-0.577,False,UFLD mode
119.808,UFLD,17.652,18.373,0.865,14.447,-0.541,False,UFLD mode
120.012,UFLD,17.660,18.181,0.897,14.185,-0.503,False,UFLD mode
120.212,UFLD,17.514,18.000,0.860,13.917,-0.465,False,UFLD mode
120.416,UFLD,17.518,17.870,0.867,13.646,-0.426,False,UFLD mode
120.584,UFLD,16.812,17.584,0.676,13.412,-0.392,False,UFLD mode
120.766,UFLD,16.858,17.388,0.632,13.175,-0.357,False,UFLD mode
121.006,UFLD,16.323,17.100,0.458,12.781,-0.300,False,UFLD mode
121.208,UFLD,16.286,16.880,0.462,12.484,-0.256,False,UFLD mode
121.43,UFLD,15.893,16.613,0.366,12.177,-0.210,False,UFLD mode
121.61,UFLD,16.043,16.459,0.465,11.871,-0.164,False,UFLD mode
121.784,UFLD,15.466,16.191,0.532,11.611,-0.125,False,UFLD mode
121.988,UFLD,15.447,15.990,0.540,11.293,-0.077,False,UFLD mode
122.186,UFLD,15.193,15.775,0.367,10.968,-0.028,False,UFLD mode
122.368,UFLD,15.133,15.601,0.361,10.634,0.022,False,UFLD mode
122.552,UFLD,14.550,15.317,0.538,10.348,0.065,False,UFLD mode
122.758,UFLD,14.576,15.117,0.542,9.989,0.116,False,UFLD mode
122.944,UFLD,14.251,14.883,0.301,9.614,0.162,False,UFLD mode
123.146,UFLD,14.319,14.731,0.181,9.229,0.197,False,UFLD mode
123.334,UFLD,13.731,14.461,0.352,8.842,0.219,False,UFLD mode
123.542,UFLD,12.811,14.015,0.063,8.462,0.223,False,UFLD mode
123.76,UFLD,12.855,13.702,0.102,8.087,0.201,False,UFLD mode
123.946,UFLD,12.721,13.437,0.015,7.736,0.157,False,UFLD mode
124.154,UFLD,12.326,13.137,0.106,7.381,0.092,False,UFLD mode
124.356,UFLD,11.271,12.633,0.022,7.028,0.009,False,UFLD mode
124.542,UFLD,11.170,12.237,-0.218,6.671,-0.093,False,UFLD mode
124.746,UFLD,10.963,11.893,-0.427,6.320,-0.212,False,UFLD mode
124.926,UFLD,10.974,11.645,-0.314,6.028,-0.322,False,UFLD mode
125.102,UFLD,10.217,11.259,-1.214,5.686,-0.459,False,UFLD mode
125.312,UFLD,9.476,10.777,-1.026,5.339,-0.603,False,UFLD mode
125.538,UFLD,9.445,10.417,-1.225,4.965,-0.773,False,UFLD mode
125.738,UFLD,8.741,9.964,-1.617,4.665,-0.924,False,UFLD mode
125.908,UFLD,8.597,9.595,-1.619,4.424,-1.052,True,UFLD mode
126.112,UFLD,8.159,9.207,-2.687,4.175,-1.204,True,UFLD mode
126.284,UFLD,7.302,8.692,-2.115,4.008,-1.332,True,UFLD mode
126.48,UFLD,7.394,8.342,-2.517,3.842,-1.488,True,UFLD mode
126.66,UFLD,6.342,7.801,-1.259,3.726,-1.616,True,UFLD mode
126.848,UFLD,6.478,7.444,-1.335,3.604,-1.770,True,UFLD mode
127.048,UFLD,6.381,7.157,-1.269,3.496,-1.925,True,UFLD mode
127.236,UFLD,6.260,6.915,-0.367,3.399,-2.077,True,UFLD mode
127.424,UFLD,6.178,6.715,-0.600,3.321,-2.207,True,UFLD mode
127.626,UFLD,5.606,6.416,0.163,3.233,-2.358,True,UFLD mode
127.806,UFLD,5.597,6.194,0.200,3.144,-2.511,True,UFLD mode
128.012,UFLD,4.917,5.849,1.912,3.056,-2.663,True,UFLD mode
128.212,UFLD,4.095,5.375,1.776,2.967,-2.814,True,UFLD mode
128.398,UFLD,4.021,5.010,3.733,2.893,-2.939,True,UFLD mode
128.608,UFLD,4.166,4.782,1.881,2.789,-3.113,True,UFLD mode
128.814,UFLD,4.112,4.601,2.084,2.699,-3.262,True,UFLD mode
129.002,UFLD,3.734,4.367,2.213,2.610,-3.411,True,UFLD mode
129.192,UFLD,3.719,4.192,2.185,2.534,-3.535,True,UFLD mode
129.392,UFLD,3.733,4.068,2.169,2.445,-3.680,True,UFLD mode
129.602,UFLD,3.755,3.983,2.099,2.340,-3.851,True,UFLD mode
129.778,UFLD,3.609,3.882,2.687,2.264,-3.972,True,UFLD mode
129.96,UFLD,3.534,3.788,2.884,2.189,-4.090,True,UFLD mode
130.148,UFLD,3.463,3.700,4.418,2.096,-4.233,True,UFLD mode
130.344,UFLD,3.425,3.626,2.924,2.004,-4.375,True,UFLD mode
130.522,UFLD,3.067,3.475,4.411,1.927,-4.494,True,UFLD mode
130.728,UFLD,2.939,3.330,6.130,1.824,-4.655,True,UFLD mode
130.932,UFLD,2.895,3.212,4.458,1.749,-4.771,True,UFLD mode
131.166,UFLD,2.632,3.056,5.457,1.645,-4.931,True,UFLD mode
131.374,UFLD,2.418,2.884,6.743,1.539,-5.090,True,UFLD mode
131.562,UFLD,3.097,2.941,5.666,1.464,-5.202,True,UFLD mode
131.764,UFLD,3.364,3.055,3.389,1.373,-5.337,True,UFLD mode
131.942,UFLD,3.692,3.227,3.001,1.280,-5.471,True,UFLD mode
132.122,UFLD,3.759,3.371,3.050,1.203,-5.581,True,UFLD mode
132.318,UFLD,2.868,3.235,1.904,1.108,-5.713,True,UFLD mode
132.508,UFLD,3.476,3.300,2.625,1.015,-5.843,True,UFLD mode
132.722,UFLD,3.302,3.301,1.665,0.921,-5.970,True,UFLD mode
132.916,UFLD,3.247,3.286,2.118,0.827,-6.098,True,UFLD mode
133.112,UFLD,3.523,3.350,2.504,0.733,-6.224,True,UFLD mode
133.284,UFLD,3.437,3.374,1.699,0.653,-6.329,True,UFLD mode
133.48,UFLD,3.645,3.447,4.835,0.558,-6.452,True,UFLD mode
133.694,UFLD,3.755,3.530,5.450,0.462,-6.574,True,UFLD mode
133.866,UFLD,2.983,3.382,-0.921,0.380,-6.676,True,UFLD mode
134.068,UFLD,3.300,3.360,0.547,0.266,-6.815,True,UFLD mode
134.246,UFLD,3.035,3.272,-1.421,0.183,-6.913,True,UFLD mode
134.448,UFLD,3.071,3.218,-1.252,0.140,-6.968,True,UFLD mode
134.662,UFLD,3.036,3.169,-0.098,0.140,-6.976,True,UFLD mode
